t,f
551.0, 1.0690236899584424
552.0, 1.078973475843163
553.0, 1.0889213262176312
554.0, 1.0988671887301877
555.0, 1.1088110102880786
556.0, 1.11875273706098
557.0, 1.1286923144847105
558.0, 1.1386296872651591
559.0, 1.148564799382385
560.0, 1.1584975940949163
561.0, 1.1684280139442327
562.0, 1.1783560007594276
563.0, 1.188281495662051
564.0, 1.1982044390711282
565.0, 1.2081247707083451
566.0, 1.218042429603409
567.0, 1.2279573540995694
568.0, 1.2378694818592968
569.0, 1.247778749870127
570.0, 1.2576850944506568
571.0, 1.2675884512566855
572.0, 1.2774887552875096
573.0, 1.2873859408923627
574.0, 1.2972799417769874
575.0, 1.307170691010354
576.0, 1.3170581210315038
577.0, 1.3269421636565308
578.0, 1.336822750085683
579.0, 1.3466998109105925
580.0, 1.3565732761216227
581.0, 1.3664430751153285
582.0, 1.3763091367020388
583.0, 1.3861713891135388
584.0, 1.396029760010866
585.0, 1.405884176492205
586.0, 1.4157345651008828
587.0, 1.4255808518334634
588.0, 1.435422962147932
589.0, 1.445260820971972
590.0, 1.4550943527113243
591.0, 1.4649234812582377
592.0, 1.4747481299999936
593.0, 1.484568221827508
594.0, 1.494383679144016
595.0, 1.5041944238738103
596.0, 1.5140003774710704
597.0, 1.5238014609287363
598.0, 1.533597594787459
599.0, 1.543388699144596
600.0, 1.5531746936632815
601.0, 1.5629554975815296
602.0, 1.572731029721406
603.0, 1.5825012084982275
604.0, 1.592265951929831
605.0, 1.6020251776458594
606.0, 1.6117788028971027
607.0, 1.6215267445648727
608.0, 1.6312689191704042
609.0, 1.6410052428842958
610.0, 1.6507356315359754
611.0, 1.6604600006231929
612.0, 1.670178265321533
613.0, 1.6798903404939525
614.0, 1.6895961407003348
615.0, 1.6992955802070566
616.0, 1.7089885729965757
617.0, 1.7186750327770233
618.0, 1.7283548729918057
619.0, 1.7380280068292147
620.0, 1.7476943472320412
621.0, 1.75735380690719
622.0, 1.7670062983352932
623.0, 1.7766517337803256
624.0, 1.7862900252992078
625.0, 1.7959210847514107
626.0, 1.805544823808544
627.0, 1.8151611539639392
628.0, 1.8247699865422116
629.0, 1.8343712327088262
630.0, 1.843964803479617
631.0, 1.853550609730313
632.0, 1.8631285622060367
633.0, 1.8726985715307718
634.0, 1.882260548216814
635.0, 1.8918144026742003
636.0, 1.9013600452200972
637.0, 1.9108973860881695
638.0, 1.9204263354379183
639.0, 1.929946803363978
640.0, 1.9394586999053898
641.0, 1.948961935054826
642.0, 1.958456418767796
643.0, 1.9679420609717877
644.0, 1.9774187715753953
645.0, 1.9868864604773788
646.0, 1.996345037575709
647.0, 2.005794412776539
648.0, 2.015234496003154
649.0, 2.0246651972048504
650.0, 2.034086426365793
651.0, 2.0434980935137967
652.0, 2.052900108729076
653.0, 2.0622923821529286
654.0, 2.071674823996378
655.0, 2.081047344548748
656.0, 2.090409854186199
657.0, 2.0997622633801822
658.0, 2.1091044827058707
659.0, 2.1184364228504937
660.0, 2.1277579920394007
661.0, 1.9864730026439261
662.0, 1.8545282732691168
663.0, 1.7314846014476815
664.0, 1.6169049018041965
665.0, 1.5103574751739772
666.0, 1.411418666255972
667.0, 1.3196749936510173
668.0, 1.2347248259997532
669.0, 1.1561796689397883
670.0, 1.0836651196263827
671.0, 1.0168215384948773
672.0, 0.9553044816876306
673.0, 0.8987849320350546
674.0, 0.8469493615904881
675.0, 0.7994996544012464
676.0, 0.756152914390193
677.0, 0.7166411798669304
678.0, 0.6807110632347647
679.0, 0.6481233318638225
680.0, 0.6186524438218616
681.0, 0.5920860501564145
682.0, 0.568224473672975
683.0, 0.546880172625312
684.0, 0.527877196400312
685.0, 0.5110506391182879
686.0, 0.496246096060234
687.0, 0.48331912695824497
688.0, 0.4721347294281034
689.0, 0.4625668251698943
690.0, 0.4544977610006729
691.0, 0.4478178263016795
692.0, 0.44242478805134255
693.0, 0.4382234442656498
694.0, 0.4351251963715869
695.0, 0.4330476407904189
696.0, 0.4319141797995454
697.0, 0.4316536515690839
698.0, 0.43219997912763447
699.0, 0.43349183789652457
700.0, 0.43547234133975543
701.0, 0.4380887442044326
702.0, 0.44129216277108263
703.0, 0.4450373114922277
704.0, 0.4492822553689429
705.0, 0.4539881773967875
706.0, 0.4591191604029841
707.0, 0.464641982594487
708.0, 0.4705259261403788
709.0, 0.4767425981208595
710.0, 0.48326576318792547
711.0, 0.49007118729888627
712.0, 0.49713649190251114
713.0, 0.5044410179781135
714.0, 0.5119656993498627
715.0, 0.5196929447216275
716.0, 0.5276065279012294
717.0, 0.5356914857069653
718.0, 0.5439340230732402
719.0, 0.5523214248960665
720.0, 0.5608419741827249
721.0, 0.5708387277776491
722.0, 0.5808352224245609
723.0, 0.5908314426848158
724.0, 0.6008273725197786
725.0, 0.6108229952815226
726.0, 0.6208182937037835
727.0, 0.6308132498931533
728.0, 0.6408078453205344
729.0, 0.6508020608128462
730.0, 0.6607958765450002
731.0, 0.6707892720321154
732.0, 0.6807822261220232
733.0, 0.6907747169880227
734.0, 0.7007667221219044
735.0, 0.7107582183272486
736.0, 0.7207491817129902
737.0, 0.7307395876872559
738.0, 0.7407294109514735
739.0, 0.7507186254947505
740.0, 0.7607072045885355
741.0, 0.7706951207815382
742.0, 0.7806823458949361
743.0, 0.7906688510178493
744.0, 0.800654606503083
745.0, 0.8106395819631507
746.0, 0.8206237462665643
747.0, 0.8306070675343936
748.0, 0.840589513137102
749.0, 0.8505710496916432
750.0, 0.8605516430588285
751.0, 0.8705312583409622
752.0, 0.8805098598797376
753.0, 0.8904874112543982
754.0, 0.9004638752801594
755.0, 0.9104392140068912
756.0, 0.920413388718051
757.0, 0.9303863599298821
758.0, 0.9403580873908568
759.0, 0.9503285300813756
760.0, 0.9602976462137077
761.0, 0.9702653932321872
762.0, 0.9802317278136446
763.0, 0.9901966058680811
764.0, 1.000159982539585
765.0, 1.0101218122074762
766.0, 1.0200820484876885
767.0, 1.0300406442343817
768.0, 1.0399975515417792
769.0, 1.049952721746226
770.0, 1.059906105428474
771.0, 1.0698576524161805
772.0, 1.0798073117866225
773.0, 1.0897550318696214
774.0, 1.0997007602506783
775.0, 1.1096444437743138
776.0, 1.119586028547607
777.0, 1.1295254599439317
778.0, 1.1394626826068979
779.0, 1.1493976404544708
780.0, 1.1593302766832911
781.0, 1.1692605337731687
782.0, 1.1791883534917673
783.0, 1.189113676899462
784.0, 1.1990364443543744
785.0, 1.2089565955175772
786.0, 1.2188740693584683
787.0, 1.2287888041603072
788.0, 1.2387007375259145
789.0, 1.2486098063835251
790.0, 1.2585159469928018
791.0, 1.2684190949509953
792.0, 1.2783191851992475
793.0, 1.2882161520290487
794.0, 1.2981099290888256
795.0, 1.3080004493906696
796.0, 1.317887645317196
797.0, 1.3277714486285408
798.0, 1.3376517904694691
799.0, 1.3475286013766252
800.0, 1.3574018112858868
801.0, 1.3672713495398408
802.0, 1.3771371448953742
803.0, 1.3869991255313716
804.0, 1.3968572190565205
805.0, 1.4067113525172168
806.0, 1.4165614524055727
807.0, 1.42640744466752
808.0, 1.436249254711004
809.0, 1.4460868074142732
810.0, 1.455920027134246
811.0, 1.4657488377149719
812.0, 1.4755731624961619
813.0, 1.4853929243218045
814.0, 1.4952080455488546
815.0, 1.505018448055984
816.0, 1.514824053252413
817.0, 1.5246247820867984
818.0, 1.5344205550561858
819.0, 1.5442112922150177
820.0, 1.5539969131842055
821.0, 1.5637773371602441
822.0, 1.5735524829243832
823.0, 1.5833222688518438
824.0, 1.5930866129210826
825.0, 1.602845432723088
826.0, 1.6125986454707288
827.0, 1.6223461680081293
828.0, 1.6320879168200808
829.0, 1.6418238080414806
830.0, 1.6515537574668087
831.0, 1.6612776805596206
832.0, 1.6709954924620656
833.0, 1.6807071080044256
834.0, 1.6904124417146766
835.0, 1.700111407828058
836.0, 1.7098039202966608
837.0, 1.7194898927990252
838.0, 1.7291692387497446
839.0, 1.7388418713090765
840.0, 1.7485077033925627
841.0, 1.7581666476806408
842.0, 1.7678186166282641
843.0, 1.7774635224745152
844.0, 1.7871012772522106
845.0, 1.7967317927975097
846.0, 1.8063549807595014
847.0, 1.815970752609788
848.0, 1.82557901965205
849.0, 1.835179693031608
850.0, 1.844772683744946
851.0, 1.85435790264924
852.0, 1.8639352604718484
853.0, 1.8735046678197849
854.0, 1.8830660351891697
855.0, 1.8926192729746536
856.0, 1.9021642914788095
857.0, 1.9117010009214992
858.0, 1.9212293114492085
859.0, 1.9307491331443452
860.0, 1.9402603760345063
861.0, 1.9497629501017126
862.0, 1.9592567652915966
863.0, 1.9687417315225517
864.0, 1.9782177586948597
865.0, 1.9876847566997435
866.0, 1.997142635428407
867.0, 2.0065913047810136
868.0, 2.0160306746756227
869.0, 2.025460655057076
870.0, 2.0348811559058433
871.0, 2.044292087246805
872.0, 2.0536933591579998
873.0, 2.063084881779303
874.0, 2.0724665653210645
875.0, 2.0818383200726838
876.0, 2.0912000564111373
877.0, 2.1005516848094357
878.0, 2.1098931158450425
879.0, 2.1192242602082128
880.0, 2.1285450261270915
881.0, 1.9872077540161905
882.0, 1.8552142717724593
883.0, 1.7321251849064518
884.0, 1.6175032200374995
885.0, 1.5109164950370848
886.0, 1.4119411774704864
887.0, 1.3201636152240148
888.0, 1.2351820130633497
889.0, 1.1566077198696258
890.0, 1.0840661833209684
891.0, 1.0171976217178968
892.0, 0.9556574563927821
893.0, 0.8991165426079104
894.0, 0.8472612319547204
895.0, 0.7997932949475041
896.0, 0.7564297286952659
897.0, 0.7169024711787487
898.0, 0.6809580407054794
899.0, 0.6483571165188383
900.0, 0.6188740742574097
901.0, 0.5922964879621543
902.0, 0.5684246085793403
903.0, 0.5470708273779563
904.0, 0.5280591313661329
905.0, 0.5112245566291955
906.0, 0.49641264450216943
907.0, 0.48347890461395143
908.0, 0.4722882880829035
909.0, 0.4627146734902483
910.0, 0.4546403676956231
911.0, 0.44795562307746617
912.0, 0.4425581723695245
913.0, 0.4383527819150044
914.0, 0.4352508238639185
915.0, 0.43316986759020204
916.0, 0.43203329039704846
917.0, 0.43176990740632354
918.0, 0.43231362038616955
919.0, 0.43360308515573015
920.0, 0.43558139711385374
921.0, 0.4381957943661629
922.0, 0.44139737786951067
923.0, 0.44514084797180864
924.0, 0.4493842566965646
925.0, 0.45408877510315315
926.0, 0.4592184750443222
927.0, 0.46474012464022424
928.0, 0.4706229967920682
929.0, 0.47683869006733004
930.0, 0.48336096130130085
931.0, 0.4901655692758217
932.0, 0.4972301288547105
933.0, 0.5045339749759181
934.0, 0.5120580359224471
935.0, 0.5197847153170884
936.0, 0.5276977823096358
937.0, 0.5357822694492089
938.0, 0.5440243777583341
939.0, 0.5524113885493432
940.0, 0.5609315815472085
941.0, 0.5709283336975859
942.0, 0.5809248268031834
943.0, 0.590921045420925
944.0, 0.600916973507649
945.0, 0.6109125944108075
946.0, 0.6209078908594194
947.0, 0.6309028449552714
948.0, 0.6408974381643697
949.0, 0.6508916513086487
950.0, 0.6608854645579488
951.0, 0.6708788574222337
952.0, 0.6808718087440956
953.0, 0.6908642966915151
954.0, 0.7008562987508844
955.0, 0.7108477917203091
956.0, 0.7208387517031745
957.0, 0.730829154101985
958.0, 0.7408189736124752
959.0, 0.7508081842179918
960.0, 0.7607967591841555
961.0, 0.770784671053784
962.0, 0.7807718916421026
963.0, 0.7907583920322171
964.0, 0.8007441425708623
965.0, 0.810729112864427
966.0, 0.8207132717752437
967.0, 0.8306965874181537
968.0, 0.8406790271573441
969.0, 0.8506605576034443
970.0, 0.8606411446109008
971.0, 0.8706207532756085
972.0, 0.8805993479328148
973.0, 0.8905768921552802
974.0, 0.9005533487517017
975.0, 0.9105286797654
976.0, 0.9205028464732535
977.0, 0.9304758093848996
978.0, 0.940447528242178
979.0, 0.9504179620188349
980.0, 0.960387068920466
981.0, 0.970354806384712
982.0, 0.9803211310816939
983.0, 0.9902859989146914
984.0, 1.0002493650210584
985.0, 1.010211183773372
986.0, 1.0201714087808162
987.0, 1.0301299928907957
988.0, 1.040086888190777
989.0, 1.0500420460103463
990.0, 1.0599954169235
991.0, 1.0699469507511428
992.0, 1.0798965965638048
993.0, 1.0898443026845688
994.0, 1.0997900166922077
995.0, 1.1097336854245252
996.0, 1.1196752549818985
997.0, 1.1296146707310142
998.0, 1.1395518773088131
999.0, 1.1494868186266123
1000.0, 1.159419437874426
1001.0, 1.1693496775254595
1002.0, 1.1792774793407999
1003.0, 1.1892027843742705
1004.0, 1.1991255329774737
1005.0, 1.20904566480499
1006.0, 1.2189631188197603
1007.0, 1.2288778332986203
1008.0, 1.2387897458380033
1009.0, 1.248698793359795
